title,main_picture,alternative_titles,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,genres,media_type,status,num_episodes,start_season,source,studios,related_anime
Murenase! Seton Gakuen Special,"{'medium': 'https://cdn.myanimelist.net/images/anime/1822/111748.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1822/111748l.webp'}","{'synonyms': ['Animal Girls Hot Water Report'], 'en': 'Come Together! to the Seton Academy', 'ja': '群れなせ！シートン学園'}",2020-07-03,2020-07-03,Unaired episode included with volume 3 of the Blu-ray release. ,6.5,7101.0,5502,16690,6974,white,"[{'id': 4, 'name': 'Comedy'}, {'id': 23, 'name': 'School'}]",special,finished_airing,1,"{'year': 2020, 'season': 'summer'}",web_manga,"[{'id': 418, 'name': 'Studio Gokumi'}]","[{'node': {'id': 40483, 'title': 'Murenase! Seton Gakuen', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1558/104666.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1558/104666l.webp'}}, 'relation_type': 'parent_story', 'relation_type_formatted': 'Parent story'}]"
Free! Dive to the Future,"{'medium': 'https://cdn.myanimelist.net/images/anime/1243/95025.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1243/95025l.jpg'}","{'synonyms': ['Free! 3rd Season'], 'en': '', 'ja': 'Free!-Dive to the Future-'}",2018-07-12,2018-09-27,"With the seniors having graduated from high school, the determined swimmers eagerly take on their futures with a dream to fulfill. 

Now attending Hidaka University in Tokyo, Haruka Nanase unexpectedly runs into Shiina Asahi, an old teammate and friend from his middle school days. Consequently, the troubling memories regarding his middle school swim team resurface, as it was a time when Haruka's views on swimming became negative and led him to quit the team. Haruka later reconnects with his other middle school classmates; all except for Ikuya Kirishima, who still resents Haruka for quitting the team, resulting in its disbandment. Aware of the issues between them, Haruka resolves to improve his friendship with Ikuya. However, he quickly realizes that making amends with an old friend isn't his only obstacle. 

Facing the reality and challenges of encountering higher calibre swimmers, Haruka must work hard to establish himself if he dreams of competing on an international level.

[Written by MAL Rewrite]",7.6,1590.0,1369,187294,85555,white,"[{'id': 23, 'name': 'School'}, {'id': 30, 'name': 'Sports'}]",tv,finished_airing,12,"{'year': 2018, 'season': 'summer'}",original,"[{'id': 2, 'name': 'Kyoto Animation'}, {'id': 929, 'name': 'Animation Do'}]","[{'node': {'id': 22265, 'title': 'Free! Eternal Summer', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1719/108886.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1719/108886l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 35191, 'title': 'Free! Movie 2: Timeless Medley - Yakusoku', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/13/87931.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/87931l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 38027, 'title': 'Free! Dive to the Future - Soushun no Build-up!', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1386/93218.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1386/93218l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 38400, 'title': 'Free! Movie 4: The Final Stroke - Zenpen', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1450/117893.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1450/117893l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 39014, 'title': 'Free! Movie 3: Road to the World - Yume', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1643/102220.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1643/102220l.jpg'}}, 'relation_type': 'summary', 'relation_type_formatted': 'Summary'}]"
Chi-Sui Maru,"{'medium': 'https://cdn.myanimelist.net/images/anime/3/87751.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/3/87751l.jpg'}","{'synonyms': ['Chii-Sui Maru'], 'en': '', 'ja': 'ちーすい丸'}",2010-02-06,2010-11-26,"The offensive and defensive battles between Nobuo, an office worker, and Chi-Sui Maru, a mosquito.",5.79,10964.0,15661,671,134,white,"[{'id': 4, 'name': 'Comedy'}]",tv,finished_airing,41,"{'year': 2010, 'season': 'winter'}",original,[],"[{'node': {'id': 11731, 'title': 'Chi-Sui Maru Specials', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/9/32751.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/9/32751l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 11733, 'title': 'Chi-Sui Maru 2nd Season', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/13/32755.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/32755l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}]"
Natsume Yuujinchou San,"{'medium': 'https://cdn.myanimelist.net/images/anime/8/82394.webp', 'large': 'https://cdn.myanimelist.net/images/anime/8/82394l.webp'}","{'synonyms': ['Natsume Yuujinchou Three', 'Natsume Yuujinchou 3', 'Natsume Yujincho 3'], 'en': ""Natsume's Book of Friends Season 3"", 'ja': '夏目友人帳 参'}",2011-07-05,2011-09-27,"Natsume Yuujinchou San follows Takashi Natsume, a boy who is able to see youkai. Natsume and his bodyguard Madara, nicknamed Nyanko-sensei, continue on their quest to release youkai from their contracts in the ""Book of Friends.""

Natsume comes to terms with his ability to see youkai and stops thinking of it as a curse. As he spends more time with his human and youkai friends, he realizes how much he values them both and decides he doesn't have to choose between the spirit and human worlds to be happy.

[Written by MAL Rewrite]",8.56,115.0,994,261722,122423,white,"[{'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",tv,finished_airing,13,"{'year': 2011, 'season': 'summer'}",manga,"[{'id': 112, 'name': ""Brain's Base""}]","[{'node': {'id': 5300, 'title': 'Zoku Natsume Yuujinchou', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/4/79738.webp', 'large': 'https://cdn.myanimelist.net/images/anime/4/79738l.webp'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 11665, 'title': 'Natsume Yuujinchou Shi', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/3/37449.webp', 'large': 'https://cdn.myanimelist.net/images/anime/3/37449l.webp'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}]"
Gravitation: Lyrics of Love,"{'medium': 'https://cdn.myanimelist.net/images/anime/1656/94257.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1656/94257l.jpg'}","{'synonyms': [], 'en': '', 'ja': 'グラビテーション'}",1999-07-23,1999-09-22,"Bad Luck's lead singer and lyricist, Shindou Shuichi, is a total wreck. With deadlines for the band's next album looming, the pressure is on, but the normally energetic Shuichi has become listless and fallen into a writing slump. It's all because Yuki - the great love of his life - has suddenly become cold and distant. Depressed and anxious, Shuichi doesn't want to think about lyrics - he just wants to know how to get Yuki to talk to him!

Now, thanks to Shuichi's big mouth bragging to the press about how talented he is, the band can't even hire someone else to write the lyrics for them. If they don't manage to break Shuichi out of his slump soon, it could mean the end of Bad Luck for good! 

(Source: RightStuf) ",6.88,4954.0,4084,33668,18654,white,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 28, 'name': 'Boys Love'}, {'id': 4, 'name': 'Comedy'}, {'id': 19, 'name': 'Music'}, {'id': 25, 'name': 'Shoujo'}, {'id': 75, 'name': 'Showbiz'}]",ova,finished_airing,2,"{'year': 1999, 'season': 'summer'}",manga,"[{'id': 107, 'name': 'Plum'}]","[{'node': {'id': 243, 'title': 'Gravitation', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/4/21856.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/4/21856l.jpg'}}, 'relation_type': 'parent_story', 'relation_type_formatted': 'Parent story'}]"
Megalo Box Specials,"{'medium': 'https://cdn.myanimelist.net/images/anime/1726/92315.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1726/92315l.webp'}","{'synonyms': [], 'en': '', 'ja': 'メガロボクス'}",2018-07-27,2018-11-22,Shorts included with the Blu-ray releases. ,6.18,8943.0,6289,11811,1629,white,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 54, 'name': 'Combat Sports'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 30, 'name': 'Sports'}]",special,finished_airing,3,"{'year': 2018, 'season': 'summer'}",original,"[{'id': 73, 'name': 'TMS Entertainment'}]","[{'node': {'id': 36563, 'title': 'Megalo Box', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1958/93533.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1958/93533l.webp'}}, 'relation_type': 'parent_story', 'relation_type_formatted': 'Parent story'}]"
Catman Series II,"{'medium': 'https://cdn.myanimelist.net/images/anime/6/9524.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/9524l.jpg'}","{'synonyms': ['Catman', 'Catman 2nd Season'], 'en': '', 'ja': 'キャットマン'}",2002,2002,"In a city filled with anthropomorphic cat-people, Catman lives free of rules and boundaries, doing everything he wants, which often collides with the other inhabitants of the city. Created entirely in flash, with no spoken dialog, Catman instead speaks in English and Japanese subtitles. The series is spread across three so-called 'seasons', with only the third having been aired.",6.17,8993.0,12682,1545,780,white,"[{'id': 51, 'name': 'Anthropomorphic'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 36, 'name': 'Slice of Life'}]",ona,finished_airing,8,,original,[],"[{'node': {'id': 4383, 'title': 'Catman Series III', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/8/8316.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/8316l.jpg'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 4419, 'title': 'Catman', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/10/67125.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/10/67125l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 7164, 'title': 'Catman Specials', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/2/24252.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/2/24252l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]"
Sekai no Tsuzuki,"{'medium': 'https://cdn.myanimelist.net/images/anime/1822/127288.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1822/127288l.jpg'}","{'synonyms': [], 'en': ""The World's Continuation"", 'ja': '世界のつづき'}",2022-08-17,2022-08-17,Music video for the song Sekai no Tsuzuki by Ado.,7.28,,11665,2145,1271,white,"[{'id': 19, 'name': 'Music'}]",music,finished_airing,1,"{'year': 2022, 'season': 'summer'}",original,[],"[{'node': {'id': 50410, 'title': 'One Piece Film: Red', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1668/125323.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1668/125323l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}]"
With All Our Hearts,"{'medium': 'https://cdn.myanimelist.net/images/anime/1680/113828.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1680/113828l.webp'}","{'synonyms': [], 'en': '', 'ja': 'With All Our Hearts'}",2021-01-06,2021-01-06,"Kanazawa College of Art is scheduled to move to a new campus in 2023.
In December 2020, the short animation ""With All Our Hearts"" was completed with the aim of publicizing the new campus. This work was created by Hiromasa Yonebayashi, an animation director who studied at the College and also a visiting professor, collaborating with 20 students. It is an original story directed by Yonebayashi based on the images and ideas that the students had in mind.

(Source: Official website)",6.6,6508.0,12949,1420,593,white,"[{'id': 10, 'name': 'Fantasy'}, {'id': 80, 'name': 'Visual Arts'}]",ona,finished_airing,1,"{'year': 2021, 'season': 'winter'}",original,[],[]
Teekyuu 2,"{'medium': 'https://cdn.myanimelist.net/images/anime/1432/98659.webp', 'large': 'https://cdn.myanimelist.net/images/anime/1432/98659l.webp'}","{'synonyms': ['Tekyuu 2', 'Te-kyu 2'], 'en': 'Teekyu 2', 'ja': 'てーきゅう ２期'}",2013-07-07,2013-09-22,Second season of Teekyu series.,6.69,5989.0,4136,32857,19144,white,"[{'id': 4, 'name': 'Comedy'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",tv,finished_airing,12,"{'year': 2013, 'season': 'summer'}",manga,"[{'id': 569, 'name': 'MAPPA'}]","[{'node': {'id': 15125, 'title': 'Teekyuu', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/1703/98658.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1703/98658l.jpg'}}, 'relation_type': 'prequel', 'relation_type_formatted': 'Prequel'}, {'node': {'id': 20473, 'title': 'Teekyuu 3', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/11/73503.webp', 'large': 'https://cdn.myanimelist.net/images/anime/11/73503l.webp'}}, 'relation_type': 'sequel', 'relation_type_formatted': 'Sequel'}, {'node': {'id': 21201, 'title': 'Teekyuu 2 Specials', 'main_picture': {'medium': 'https://cdn.myanimelist.net/images/anime/12/56005.webp', 'large': 'https://cdn.myanimelist.net/images/anime/12/56005l.webp'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}]"
