user_id,anime_id,status,score,num_episodes_watched
0,7705,dropped,7,0
1,31240,completed,9,25
2,1007,on_hold,6,1
3,1535,completed,7,37
4,8888,plan_to_watch,0,0
5,1033,completed,0,1
6,25013,plan_to_watch,0,0
7,777,completed,8,10
8,33506,plan_to_watch,8,0
9,738,dropped,5,3
10,8331,completed,10,1
11,49858,watching,0,1
12,15,completed,0,145
13,39617,plan_to_watch,0,0
14,26243,completed,1,12
15,11633,completed,0,10
16,9756,plan_to_watch,0,0
17,19163,completed,7,10
18,36704,completed,9,12
19,31812,completed,10,1
